Job Title,Link
Python/AWS Backend Software Contractor,https://www.indeed.com/rc/clk?jk=3cf026416ae26dba&bb=TDVQDAdTc6af8Yij8pznnWTUETRyhT0nHs3Nsht-HJ7AaBumK8_umSEU-9q6Dfu-T0-2-OLOja-qHSEsBAJuJmzKwpKBsdIDbPfq3tcwBTj_M7yNz1yXNQ%3D%3D&xkcb=SoCQ67M3DhMvRiQSMx0LbzkdCdPP&fccid=63842d9084bfe83e&vjs=3
Python Developer,https://www.indeed.com/rc/clk?jk=fbcc94e94858b3d2&bb=TDVQDAdTc6af8Yij8pznnVQF-A1jGSB90HBCM34ynleAtFzwAhvDm3QUpnnmUp5sgE4ppSeUfgBwrUNRoo2VOe7rh9CDa8c_C3YRWSAP1xusJdX3CoQw1A%3D%3D&xkcb=SoAk67M3DhMvRiQSMx0KbzkdCdPP&fccid=6ce11bcd7af32730&vjs=3
Python Automation,https://www.indeed.com/rc/clk?jk=5a544c703ebcab60&bb=TDVQDAdTc6af8Yij8pznnanz29kK9Qap2A03HBhT_StJppBG14aOXkcn7MFpS1My97mVndKon07JRh6uZPuq29iEufqCKADEluGTr8mHIlH2AQpzeOLGCQ%3D%3D&xkcb=SoC567M3DhMvRiQSMx0JbzkdCdPP&fccid=810178099fb1fcbc&vjs=3
Python Developer,https://www.indeed.com/rc/clk?jk=9b880f3e110c66e8&bb=TDVQDAdTc6af8Yij8pznnfUJZ_a5wZUbaA89_qXG0-E3-Nm0dQwaXZVlyYGoHm9FoZ5i9Kcx7Z7I8Tac9XtkBzOAQW9h35-C_BtXZQ5sfx8KKNQ8jkHDsg%3D%3D&xkcb=SoAN67M3DhMvRiQSMx0IbzkdCdPP&fccid=aa45e6dceb2005ba&vjs=3
Python Developer,https://www.indeed.com/rc/clk?jk=ec55688e2caea580&bb=TDVQDAdTc6af8Yij8pznnYY8ixOcMmc7iVO_ETdmygsqtLaBPcm5o0FqNLTwuzKyPb4S0vGSwHvE2D8OEk-MQ4k7T9rUQIElE4HQU-52NupLlKGWejUVTw%3D%3D&xkcb=SoCD67M3DhMvRiQSMx0PbzkdCdPP&fccid=280618e627cb7b35&vjs=3
Backend Developer,https://www.indeed.com/rc/clk?jk=038fae6b8db0f962&bb=TDVQDAdTc6af8Yij8pznnR6xGPLX2aAj_qPIZGWTA69b4a4Kz_4iZBAB-8HkUopGSGuFgU3A1ULWdZ5w4LefoBcYPAU0a7NNrU9-bjzyna3FAqXPBNHtqA%3D%3D&xkcb=SoA367M3DhMvRiQSMx0ObzkdCdPP&fccid=702e2462ed1bd91b&vjs=3
"Python Generalist, Tesla Bot",https://www.indeed.com/rc/clk?jk=bf432659071668e2&bb=TDVQDAdTc6af8Yij8pznnds3xBte2uyiepVLOKc2sg1-7_bcBeql93lc4y3TB3R9RS5QBJJ-6h0oROX8PuZLLYxTxh8LR1ixOD_6NJlLVJ2ATY3zKfL9JA%3D%3D&xkcb=SoCq67M3DhMvRiQSMx0NbzkdCdPP&fccid=86e9be6ce380173e&vjs=3
"Research Scientist, Interpretability",https://www.indeed.com/rc/clk?jk=32994f5e29c44d37&bb=TDVQDAdTc6af8Yij8pznnfaj5ijFhfp5_MVLemOrmtdBjsh2Om0SBIHn48qBZH-iVcl_nNmZ51h0-j2kdjwcnh-eKTL0fW57vROybq94ajOqmakPZPC9OQ%3D%3D&xkcb=SoAe67M3DhMvRiQSMx0MbzkdCdPP&fccid=8f0d04a86e31340d&vjs=3
Python API Engineer,https://www.indeed.com/rc/clk?jk=761c50d7a1d96df4&bb=TDVQDAdTc6af8Yij8pznnbvoHK6V14LYwf-wAqPY9cW0UdhT7AwYvK1vL3cMcBEcmHl_IrtQHZ4i3AU4eg5nq3Uk-lS2uYOadVlufZUgmoeYHILRPbxV5A%3D%3D&xkcb=SoD367M3DhMvRiQSMx0DbzkdCdPP&fccid=2fc3c63516d3ee12&vjs=3
Junior Customer Engineer,https://www.indeed.com/rc/clk?jk=d2f9cefd2e2b5ece&bb=TDVQDAdTc6af8Yij8pznnefbq7oOP76mSyVZFTMa_WyMmFfZHz0FT2mhcZvmlhcuVgEl6-vuPFM31e0tEwkx-w0lM-zdwj0nCdDN9A4Z4ROoh_kc12IeVQ%3D%3D&xkcb=SoBD67M3DhMvRiQSMx0CbzkdCdPP&fccid=cc962289079c872f&vjs=3
